* Measurement data measured by REW V5,19
* Source: ASIO ASIO E-MU 0404 | USB, Analog IN B
* Format: 1M Log Swept Sine, 1 sweep at -10,0 dBFS, at 96000 Hz
* Dated: 25.2.2020 15:19:21
* Sense Resistor: 119.8
* Lead resistance: 0.000
* Lead resistance: 0.000
* Calibration factor: 1.0000
* Note: impedanca bass
* Measurement: nov zvocnik
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) Z(Ohms) Phase(degrees)
120.117 4.103 -30.959
120.483 4.093 -30.789
120.850 4.083 -30.619
121.216 4.073 -30.448
121.582 4.063 -30.279
121.948 4.054 -30.112
122.314 4.045 -29.948
122.681 4.035 -29.785
123.047 4.026 -29.623
123.413 4.017 -29.459
123.779 4.008 -29.295
124.146 3.999 -29.130
124.512 3.990 -28.966
124.878 3.982 -28.805
125.244 3.973 -28.645
125.610 3.965 -28.486
125.977 3.957 -28.328
126.343 3.949 -28.170
126.709 3.941 -28.013
127.075 3.933 -27.857
127.441 3.925 -27.702
127.808 3.918 -27.546
128.174 3.910 -27.390
128.540 3.903 -27.234
128.906 3.896 -27.078
129.272 3.889 -26.925
129.639 3.882 -26.774
130.005 3.875 -26.624
130.371 3.868 -26.474
130.737 3.861 -26.322
131.104 3.854 -26.168
131.470 3.848 -26.016
131.836 3.841 -25.864
132.202 3.835 -25.715
132.568 3.829 -25.567
132.935 3.823 -25.421
133.301 3.817 -25.275
133.667 3.811 -25.130
134.033 3.804 -24.985
134.399 3.798 -24.839
134.766 3.793 -24.692
135.132 3.787 -24.546
135.498 3.781 -24.399
135.864 3.776 -24.255
136.230 3.770 -24.112
136.597 3.765 -23.970
136.963 3.760 -23.829
137.329 3.755 -23.688
137.695 3.750 -23.548
138.062 3.745 -23.408
138.428 3.740 -23.269
138.794 3.735 -23.131
139.160 3.730 -22.993
139.526 3.725 -22.855
139.893 3.721 -22.718
140.259 3.716 -22.581
140.625 3.711 -22.446
140.991 3.707 -22.310
141.357 3.702 -22.174
141.724 3.698 -22.038
142.090 3.694 -21.903
142.456 3.689 -21.770
142.822 3.685 -21.639
143.188 3.681 -21.507
143.555 3.677 -21.375
143.921 3.673 -21.243
144.287 3.669 -21.112
144.653 3.665 -20.983
145.020 3.661 -20.856
145.386 3.657 -20.727
145.752 3.653 -20.599
146.118 3.650 -20.470
146.484 3.646 -20.344
146.851 3.643 -20.220
147.217 3.639 -20.096
147.583 3.635 -19.970
147.949 3.632 -19.840
148.315 3.629 -19.711
148.682 3.626 -19.587
149.048 3.623 -19.471
149.414 3.620 -19.360
149.780 3.616 -19.248
150.146 3.612 -19.128
150.513 3.608 -18.997
150.879 3.604 -18.860
151.245 3.601 -18.725
151.611 3.599 -18.598
151.978 3.597 -18.479
152.344 3.594 -18.364
152.710 3.591 -18.247
153.076 3.588 -18.126
153.442 3.585 -18.002
153.809 3.582 -17.879
154.175 3.579 -17.760
154.541 3.577 -17.644
154.907 3.574 -17.529
155.273 3.571 -17.411
155.640 3.568 -17.291
156.006 3.566 -17.171
156.372 3.563 -17.053
156.738 3.561 -16.938
157.104 3.559 -16.826
157.471 3.556 -16.714
157.837 3.554 -16.603
158.203 3.551 -16.492
158.569 3.549 -16.379
158.936 3.546 -16.267
159.302 3.544 -16.153
159.668 3.541 -16.038
160.034 3.539 -15.923
160.400 3.537 -15.809
160.767 3.535 -15.697
161.133 3.533 -15.587
161.499 3.531 -15.478
161.865 3.529 -15.369
162.231 3.526 -15.260
162.598 3.524 -15.149
162.964 3.522 -15.038
163.330 3.521 -14.929
163.696 3.519 -14.822
164.062 3.517 -14.714
164.429 3.515 -14.607
164.795 3.513 -14.499
165.161 3.511 -14.391
165.527 3.509 -14.283
165.894 3.507 -14.176
166.260 3.506 -14.069
166.626 3.504 -13.963
166.992 3.502 -13.858
167.358 3.501 -13.754
167.725 3.499 -13.650
168.091 3.498 -13.547
168.457 3.496 -13.444
168.823 3.494 -13.341
169.189 3.493 -13.237
169.556 3.491 -13.134
169.922 3.490 -13.030
170.288 3.488 -12.928
170.654 3.487 -12.826
171.021 3.485 -12.724
171.387 3.484 -12.622
171.753 3.483 -12.521
172.119 3.481 -12.420
172.485 3.480 -12.321
172.852 3.478 -12.221
173.218 3.477 -12.122
173.584 3.476 -12.022
173.950 3.474 -11.923
174.316 3.473 -11.824
174.683 3.472 -11.726
175.049 3.471 -11.628
175.415 3.469 -11.531
175.781 3.468 -11.433
176.147 3.467 -11.335
176.514 3.466 -11.237
176.880 3.464 -11.139
177.246 3.463 -11.041
177.612 3.462 -10.943
177.979 3.461 -10.846
178.345 3.460 -10.750
178.711 3.459 -10.655
179.077 3.458 -10.560
179.443 3.457 -10.466
179.810 3.456 -10.371
180.176 3.455 -10.276
180.542 3.454 -10.180
180.908 3.453 -10.084
181.274 3.452 -9.989
181.641 3.451 -9.895
182.007 3.450 -9.802
182.373 3.449 -9.708
182.739 3.448 -9.615
183.105 3.447 -9.522
183.472 3.446 -9.428
183.838 3.446 -9.334
184.204 3.445 -9.240
184.570 3.444 -9.146
184.937 3.443 -9.052
185.303 3.442 -8.958
185.669 3.442 -8.864
186.035 3.441 -8.771
186.401 3.441 -8.679
186.768 3.440 -8.589
187.134 3.439 -8.499
187.500 3.439 -8.409
187.866 3.438 -8.319
188.232 3.437 -8.228
188.599 3.437 -8.137
188.965 3.436 -8.047
189.331 3.436 -7.956
189.697 3.435 -7.866
190.063 3.434 -7.776
190.430 3.434 -7.685
190.796 3.433 -7.593
191.162 3.433 -7.502
191.528 3.432 -7.412
191.895 3.432 -7.322
192.261 3.432 -7.233
192.627 3.431 -7.143
192.993 3.431 -7.053
193.359 3.430 -6.962
193.726 3.430 -6.872
194.092 3.430 -6.783
194.458 3.430 -6.695
194.824 3.429 -6.607
195.190 3.429 -6.517
195.557 3.429 -6.426
195.923 3.428 -6.334
196.289 3.428 -6.243
196.655 3.428 -6.153
197.021 3.428 -6.065
197.388 3.428 -5.978
197.754 3.428 -5.888
198.120 3.428 -5.797
198.486 3.428 -5.705
198.853 3.428 -5.613
199.219 3.428 -5.523
199.585 3.428 -5.435
199.951 3.429 -5.348
200.317 3.429 -5.260
200.684 3.429 -5.170
201.050 3.429 -5.080
201.416 3.430 -4.991
201.782 3.430 -4.902
202.148 3.430 -4.814
202.515 3.431 -4.726
202.881 3.431 -4.638
203.247 3.432 -4.549
203.613 3.433 -4.460
203.979 3.434 -4.371
204.346 3.435 -4.284
204.712 3.436 -4.199
205.078 3.437 -4.115
205.444 3.438 -4.033
205.811 3.439 -3.950
206.177 3.440 -3.867
206.543 3.442 -3.786
206.909 3.443 -3.706
207.275 3.444 -3.629
207.642 3.446 -3.554
208.008 3.447 -3.482
208.374 3.449 -3.410
208.740 3.450 -3.340
209.106 3.452 -3.271
209.473 3.453 -3.205
209.839 3.455 -3.142
210.205 3.456 -3.082
210.571 3.458 -3.023
210.938 3.459 -2.965
211.304 3.460 -2.906
