* Measurement data measured by REW V5,19
* Source: ASIO ASIO E-MU 0404 | USB, Analog IN B
* Format: 1M Log Swept Sine, 1 sweep at -10,0 dBFS, at 96000 Hz
* Dated: 25.2.2020 15:22:02
* Sense Resistor: 119.8
* Lead resistance: 0.000
* Lead resistance: 0.000
* Calibration factor: 1.0000
* Note: impedanca tweeter
* Measurement: nov zvocnik
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) Z(Ohms) Phase(degrees)
169.922 5.053 11.341
170.288 5.054 11.362
170.654 5.055 11.383
171.021 5.056 11.404
171.387 5.056 11.425
171.753 5.057 11.447
172.119 5.058 11.470
172.485 5.059 11.493
172.852 5.060 11.516
173.218 5.061 11.537
173.584 5.063 11.558
173.950 5.063 11.578
174.316 5.064 11.600
174.683 5.065 11.622
175.049 5.066 11.645
175.415 5.068 11.667
175.781 5.069 11.688
176.147 5.070 11.707
176.514 5.071 11.727
176.880 5.072 11.747
177.246 5.073 11.769
177.612 5.073 11.792
177.979 5.075 11.815
178.345 5.076 11.836
178.711 5.077 11.857
179.077 5.078 11.876
179.443 5.079 11.896
179.810 5.080 11.916
180.176 5.081 11.937
180.542 5.082 11.960
180.908 5.083 11.983
181.274 5.084 12.006
181.641 5.085 12.028
182.007 5.086 12.049
182.373 5.087 12.069
182.739 5.088 12.089
183.105 5.089 12.109
183.472 5.090 12.131
183.838 5.091 12.153
184.204 5.092 12.176
184.570 5.093 12.198
184.937 5.094 12.220
185.303 5.095 12.241
185.669 5.096 12.261
186.035 5.097 12.282
186.401 5.098 12.303
186.768 5.100 12.324
187.134 5.101 12.346
187.500 5.102 12.367
187.866 5.103 12.388
188.232 5.104 12.408
188.599 5.105 12.427
188.965 5.106 12.446
189.331 5.107 12.466
189.697 5.108 12.487
190.063 5.109 12.509
190.430 5.110 12.531
190.796 5.111 12.553
191.162 5.112 12.574
191.528 5.114 12.595
191.895 5.115 12.615
192.261 5.116 12.636
192.627 5.117 12.658
192.993 5.118 12.680
193.359 5.119 12.701
193.726 5.120 12.722
194.092 5.121 12.742
194.458 5.122 12.762
194.824 5.123 12.783
195.190 5.124 12.805
195.557 5.125 12.828
195.923 5.126 12.850
196.289 5.128 12.871
196.655 5.129 12.891
197.021 5.130 12.909
197.388 5.131 12.928
197.754 5.132 12.948
198.120 5.133 12.969
198.486 5.134 12.991
198.853 5.135 13.014
199.219 5.136 13.037
199.585 5.137 13.058
199.951 5.139 13.078
200.317 5.140 13.097
200.684 5.141 13.117
201.050 5.142 13.137
201.416 5.143 13.157
201.782 5.144 13.178
202.148 5.145 13.199
202.515 5.146 13.220
202.881 5.148 13.242
203.247 5.149 13.263
203.613 5.150 13.284
203.979 5.151 13.304
204.346 5.152 13.324
204.712 5.153 13.345
205.078 5.154 13.366
205.444 5.156 13.387
205.811 5.157 13.408
206.177 5.158 13.429
206.543 5.159 13.449
206.909 5.160 13.470
207.275 5.161 13.490
207.642 5.162 13.510
208.008 5.164 13.531
208.374 5.165 13.553
208.740 5.166 13.574
209.106 5.167 13.595
209.473 5.168 13.615
209.839 5.170 13.634
210.205 5.171 13.652
210.571 5.172 13.671
210.938 5.173 13.690
211.304 5.174 13.711
211.670 5.175 13.733
212.036 5.176 13.755
212.402 5.177 13.775
212.769 5.179 13.795
213.135 5.180 13.815
213.501 5.181 13.835
213.867 5.182 13.855
214.233 5.183 13.876
214.600 5.185 13.898
214.966 5.186 13.918
215.332 5.187 13.937
215.698 5.188 13.955
216.064 5.189 13.974
216.431 5.190 13.994
216.797 5.192 14.015
217.163 5.193 14.037
217.529 5.194 14.060
217.896 5.195 14.082
218.262 5.197 14.103
218.628 5.198 14.122
218.994 5.199 14.141
219.360 5.200 14.160
219.727 5.202 14.179
220.093 5.203 14.199
220.459 5.204 14.220
220.825 5.205 14.240
221.191 5.206 14.261
221.558 5.207 14.282
221.924 5.208 14.303
222.290 5.210 14.323
222.656 5.211 14.343
223.022 5.212 14.363
223.389 5.213 14.382
223.755 5.215 14.401
224.121 5.216 14.421
224.487 5.217 14.441
224.854 5.218 14.462
225.220 5.220 14.481
225.586 5.221 14.500
225.952 5.222 14.519
226.318 5.223 14.537
226.685 5.224 14.557
227.051 5.226 14.577
227.417 5.227 14.599
227.783 5.228 14.620
228.149 5.229 14.640
228.516 5.231 14.660
228.882 5.232 14.680
229.248 5.233 14.700
229.614 5.235 14.719
229.980 5.236 14.739
230.347 5.237 14.758
230.713 5.238 14.778
231.079 5.240 14.798
231.445 5.241 14.818
231.812 5.242 14.839
232.178 5.243 14.860
232.544 5.244 14.881
232.910 5.246 14.902
233.276 5.247 14.921
233.643 5.249 14.940
234.009 5.250 14.959
234.375 5.251 14.978
234.741 5.252 14.997
235.107 5.253 15.017
235.474 5.255 15.038
235.840 5.256 15.058
236.206 5.257 15.078
236.572 5.258 15.098
236.938 5.260 15.117
237.305 5.261 15.136
237.671 5.262 15.155
238.037 5.263 15.175
238.403 5.265 15.195
238.770 5.266 15.216
239.136 5.267 15.236
239.502 5.269 15.257
239.868 5.270 15.276
240.234 5.271 15.296
240.601 5.273 15.315
240.967 5.274 15.334
241.333 5.275 15.353
241.699 5.277 15.372
242.065 5.278 15.392
242.432 5.279 15.412
242.798 5.281 15.431
243.164 5.282 15.451
243.530 5.283 15.470
243.896 5.285 15.489
244.263 5.286 15.508
244.629 5.287 15.526
244.995 5.289 15.546
245.361 5.290 15.566
245.728 5.291 15.586
246.094 5.292 15.607
246.460 5.294 15.626
246.826 5.295 15.646
247.192 5.297 15.664
247.559 5.298 15.684
247.925 5.299 15.704
248.291 5.301 15.724
248.657 5.302 15.743
