* Measurement data measured by REW V5,19
* Source: ASIO ASIO E-MU 0404 | USB, Analog IN B
* Format: 1M Log Swept Sine, 1 sweep at -10,0 dBFS  Using a loopback as a timing reference
* Dated: 25.2.2020 14:46:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 1,698±0,005 ms (582 mm, 1,91 ft) Mikrofon na sredini, samo bass
* Measurement: nov zv
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
243.164 80.896 87.103
243.530 80.927 86.741
243.896 80.957 86.376
244.263 80.987 86.012
244.629 81.017 85.647
244.995 81.048 85.275
245.361 81.080 84.890
245.728 81.110 84.492
246.094 81.139 84.088
246.460 81.166 83.684
246.826 81.191 83.286
247.192 81.218 82.894
247.559 81.245 82.499
247.925 81.273 82.096
248.291 81.301 81.680
248.657 81.328 81.252
249.023 81.352 80.819
249.390 81.376 80.385
249.756 81.399 79.954
250.122 81.421 79.523
250.488 81.445 79.088
250.854 81.468 78.644
251.221 81.491 78.187
251.587 81.513 77.715
251.953 81.534 77.233
252.319 81.552 76.746
252.686 81.568 76.258
253.052 81.583 75.769
253.418 81.598 75.276
253.784 81.612 74.773
254.150 81.624 74.258
254.517 81.633 73.733
254.883 81.638 73.205
255.249 81.640 72.680
255.615 81.639 72.162
255.981 81.635 71.654
256.348 81.628 71.156
256.714 81.619 70.669
257.080 81.607 70.195
257.446 81.592 69.738
257.812 81.575 69.300
258.179 81.556 68.885
258.545 81.534 68.495
258.911 81.510 68.139
259.277 81.486 67.821
259.644 81.462 67.546
260.010 81.442 67.310
260.376 81.424 67.105
260.742 81.412 66.926
261.108 81.403 66.768
261.475 81.399 66.632
261.841 81.401 66.514
262.207 81.411 66.410
262.573 81.428 66.306
262.939 81.453 66.189
263.306 81.486 66.047
263.672 81.525 65.875
264.038 81.570 65.666
264.404 81.619 65.417
264.771 81.673 65.118
265.137 81.730 64.760
265.503 81.788 64.337
265.869 81.845 63.848
266.235 81.899 63.299
266.602 81.947 62.695
266.968 81.990 62.041
267.334 82.025 61.344
267.700 82.051 60.614
268.066 82.068 59.866
268.433 82.074 59.116
268.799 82.071 58.381
269.165 82.061 57.669
269.531 82.045 56.984
269.897 82.025 56.322
270.264 82.002 55.683
270.630 81.975 55.064
270.996 81.945 54.467
271.362 81.912 53.892
271.729 81.877 53.339
272.095 81.840 52.806
272.461 81.801 52.292
272.827 81.760 51.798
273.193 81.717 51.325
273.560 81.673 50.875
273.926 81.627 50.447
274.292 81.580 50.044
274.658 81.532 49.664
275.024 81.484 49.311
275.391 81.435 48.983
275.757 81.387 48.683
276.123 81.340 48.407
276.489 81.294 48.154
276.855 81.248 47.922
277.222 81.204 47.713
277.588 81.161 47.527
277.954 81.120 47.365
278.320 81.082 47.227
278.687 81.048 47.105
279.053 81.018 46.993
279.419 80.991 46.882
279.785 80.967 46.769
280.151 80.944 46.653
280.518 80.923 46.539
280.884 80.903 46.433
281.250 80.884 46.338
281.616 80.869 46.250
281.982 80.857 46.162
282.349 80.848 46.067
282.715 80.841 45.959
283.081 80.835 45.840
283.447 80.829 45.715
283.813 80.823 45.591
284.180 80.817 45.470
284.546 80.813 45.354
284.912 80.810 45.236
285.278 80.808 45.113
285.645 80.807 44.984
286.011 80.806 44.852
286.377 80.805 44.720
286.743 80.804 44.594
287.109 80.804 44.473
287.476 80.805 44.354
287.842 80.808 44.231
288.208 80.812 44.102
288.574 80.817 43.966
288.940 80.821 43.827
289.307 80.824 43.690
289.673 80.829 43.556
290.039 80.834 43.425
290.405 80.840 43.293
290.771 80.848 43.158
291.138 80.856 43.019
291.504 80.864 42.877
291.870 80.873 42.735
292.236 80.882 42.592
292.603 80.892 42.448
292.969 80.903 42.301
293.335 80.913 42.153
293.701 80.924 42.006
294.067 80.935 41.862
294.434 80.947 41.721
294.800 80.961 41.580
295.166 80.974 41.438
295.532 80.989 41.294
295.898 81.003 41.151
296.265 81.018 41.012
296.631 81.034 40.877
296.997 81.051 40.740
297.363 81.070 40.598
297.729 81.088 40.452
298.096 81.106 40.308
298.462 81.124 40.172
298.828 81.144 40.046
299.194 81.167 39.923
299.561 81.193 39.791
299.927 81.222 39.641
300.293 81.250 39.471
300.659 81.278 39.289
301.025 81.306 39.104
301.392 81.334 38.920
301.758 81.363 38.734
302.124 81.394 38.538
302.490 81.426 38.326
302.856 81.458 38.099
303.223 81.489 37.863
303.589 81.519 37.623
303.955 81.550 37.384
304.321 81.582 37.141
304.688 81.614 36.891
305.054 81.648 36.628
305.420 81.682 36.351
305.786 81.715 36.062
306.152 81.747 35.766
306.519 81.778 35.463
306.885 81.809 35.155
307.251 81.839 34.842
307.617 81.869 34.524
307.983 81.898 34.201
308.350 81.926 33.876
308.716 81.954 33.547
309.082 81.982 33.215
309.448 82.010 32.878
309.814 82.036 32.535
310.181 82.063 32.187
310.547 82.088 31.835
310.913 82.113 31.480
