* Measurement data measured by REW V5,19
* Source: ASIO ASIO E-MU 0404 | USB, Analog IN B
* Format: 1M Log Swept Sine, 1 sweep at -8,0 dBFS, at 96000 Hz
* Dated: 4.10.2019 13:27:35
* Sense Resistor: 119.8
* Lead resistance: 0.000
* Calibration factor: 1.0000
* Note: ; 
* Measurement: nov imp bass
* Smoothing: 1/12 octave
* Frequency Step: 0.36621094 Hz
* Start Frequency: 9.887695 Hz
*
* Freq(Hz) Z(Ohms) Phase(degrees)
123.779 14.187 -29.857
124.146 14.153 -29.684
124.512 14.120 -29.512
124.878 14.087 -29.339
125.244 14.054 -29.167
125.610 14.023 -28.996
125.977 13.991 -28.824
126.343 13.960 -28.653
126.709 13.930 -28.481
127.075 13.901 -28.310
127.441 13.871 -28.139
127.808 13.843 -27.968
128.174 13.815 -27.797
128.540 13.787 -27.626
128.906 13.760 -27.455
129.272 13.734 -27.284
129.639 13.708 -27.113
130.005 13.682 -26.941
130.371 13.658 -26.770
130.737 13.634 -26.598
131.104 13.610 -26.427
131.470 13.587 -26.255
131.836 13.565 -26.084
132.202 13.544 -25.912
132.568 13.523 -25.741
132.935 13.503 -25.570
133.301 13.484 -25.400
133.667 13.466 -25.230
134.033 13.449 -25.062
134.399 13.432 -24.894
134.766 13.417 -24.728
135.132 13.402 -24.563
135.498 13.388 -24.401
135.864 13.376 -24.241
136.230 13.364 -24.084
136.597 13.353 -23.930
136.963 13.343 -23.780
137.329 13.333 -23.634
137.695 13.324 -23.492
138.062 13.316 -23.355
138.428 13.308 -23.223
138.794 13.301 -23.096
139.160 13.293 -22.974
139.526 13.286 -22.857
139.893 13.278 -22.745
140.259 13.271 -22.638
140.625 13.263 -22.535
140.991 13.254 -22.437
141.357 13.245 -22.342
141.724 13.235 -22.251
142.090 13.224 -22.162
142.456 13.212 -22.076
142.822 13.200 -21.991
143.188 13.186 -21.906
143.555 13.172 -21.822
143.921 13.157 -21.738
144.287 13.141 -21.652
144.653 13.124 -21.565
145.020 13.107 -21.477
145.386 13.089 -21.386
145.752 13.070 -21.293
146.118 13.051 -21.197
146.484 13.032 -21.099
146.851 13.013 -20.998
147.217 12.994 -20.895
147.583 12.974 -20.789
147.949 12.955 -20.680
148.315 12.936 -20.569
148.682 12.917 -20.456
149.048 12.898 -20.341
149.414 12.879 -20.224
149.780 12.861 -20.105
150.146 12.844 -19.985
150.513 12.826 -19.864
150.879 12.809 -19.741
151.245 12.793 -19.618
151.611 12.777 -19.495
151.978 12.761 -19.370
152.344 12.746 -19.246
152.710 12.731 -19.121
153.076 12.716 -18.996
153.442 12.702 -18.871
153.809 12.689 -18.746
154.175 12.675 -18.622
154.541 12.662 -18.497
154.907 12.650 -18.373
155.273 12.637 -18.249
155.640 12.625 -18.126
156.006 12.613 -18.003
156.372 12.602 -17.881
156.738 12.591 -17.759
157.104 12.580 -17.637
157.471 12.569 -17.516
157.837 12.559 -17.396
158.203 12.549 -17.276
158.569 12.539 -17.156
158.936 12.529 -17.038
159.302 12.519 -16.919
159.668 12.510 -16.801
160.034 12.501 -16.684
160.400 12.492 -16.567
160.767 12.483 -16.451
161.133 12.475 -16.335
161.499 12.466 -16.220
161.865 12.458 -16.105
162.231 12.449 -15.991
162.598 12.441 -15.877
162.964 12.434 -15.764
163.330 12.426 -15.651
163.696 12.418 -15.539
164.062 12.411 -15.427
164.429 12.403 -15.316
164.795 12.396 -15.205
165.161 12.389 -15.095
165.527 12.382 -14.985
165.894 12.375 -14.876
166.260 12.368 -14.767
166.626 12.362 -14.659
166.992 12.355 -14.551
167.358 12.349 -14.444
167.725 12.342 -14.337
168.091 12.336 -14.230
168.457 12.330 -14.124
168.823 12.324 -14.018
169.189 12.318 -13.913
169.556 12.312 -13.808
169.922 12.306 -13.704
170.288 12.300 -13.600
170.654 12.295 -13.496
171.021 12.289 -13.393
171.387 12.284 -13.291
171.753 12.278 -13.188
172.119 12.273 -13.086
172.485 12.268 -12.985
172.852 12.263 -12.883
173.218 12.258 -12.783
173.584 12.253 -12.682
173.950 12.248 -12.582
174.316 12.243 -12.482
174.683 12.238 -12.383
175.049 12.234 -12.284
175.415 12.229 -12.185
175.781 12.225 -12.086
176.147 12.220 -11.988
176.514 12.216 -11.891
176.880 12.212 -11.793
177.246 12.207 -11.696
177.612 12.203 -11.599
177.979 12.199 -11.503
178.345 12.195 -11.407
178.711 12.191 -11.311
179.077 12.187 -11.215
179.443 12.184 -11.120
179.810 12.180 -11.025
180.176 12.176 -10.930
180.542 12.173 -10.836
180.908 12.169 -10.742
181.274 12.166 -10.648
181.641 12.162 -10.555
182.007 12.159 -10.461
182.373 12.155 -10.369
182.739 12.152 -10.276
183.105 12.149 -10.184
183.472 12.146 -10.092
183.838 12.143 -10.000
184.204 12.140 -9.909
184.570 12.137 -9.817
184.937 12.134 -9.727
185.303 12.131 -9.636
185.669 12.128 -9.546
186.035 12.126 -9.455
186.401 12.123 -9.366
186.768 12.120 -9.276
187.134 12.118 -9.187
187.500 12.115 -9.098
187.866 12.113 -9.009
188.232 12.110 -8.920
188.599 12.108 -8.832
188.965 12.106 -8.744
189.331 12.104 -8.656
189.697 12.101 -8.568
190.063 12.099 -8.481
190.430 12.097 -8.394
190.796 12.095 -8.307
191.162 12.093 -8.220
191.528 12.091 -8.134
191.895 12.090 -8.048
192.261 12.088 -7.962
192.627 12.086 -7.876
192.993 12.084 -7.791
193.359 12.083 -7.705
193.726 12.081 -7.621
194.092 12.080 -7.536
194.458 12.078 -7.452
194.824 12.077 -7.368
195.190 12.076 -7.284
195.557 12.074 -7.200
195.923 12.073 -7.117
196.289 12.072 -7.034
196.655 12.071 -6.952
197.021 12.070 -6.870
197.388 12.069 -6.788
197.754 12.068 -6.707
198.120 12.067 -6.625
198.486 12.067 -6.545
198.853 12.066 -6.464
199.219 12.065 -6.384
199.585 12.065 -6.305
199.951 12.064 -6.225
200.317 12.063 -6.147
200.684 12.063 -6.068
201.050 12.062 -5.990
201.416 12.062 -5.913
201.782 12.061 -5.835
202.148 12.061 -5.759
202.515 12.061 -5.682
202.881 12.060 -5.606
203.247 12.060 -5.530
203.613 12.060 -5.455
203.979 12.059 -5.380
204.346 12.059 -5.306
204.712 12.058 -5.231
205.078 12.058 -5.157
205.444 12.058 -5.084
205.811 12.057 -5.010
206.177 12.057 -4.937
206.543 12.057 -4.864
206.909 12.056 -4.792
207.275 12.056 -4.720
207.642 12.055 -4.647
208.008 12.055 -4.575
208.374 12.055 -4.504
208.740 12.054 -4.432
209.106 12.054 -4.360
209.473 12.053 -4.289
209.839 12.053 -4.218
210.205 12.052 -4.146
210.571 12.052 -4.075
210.938 12.051 -4.004
211.304 12.051 -3.933
211.670 12.050 -3.862
212.036 12.050 -3.791
212.402 12.049 -3.720
212.769 12.049 -3.649
213.135 12.048 -3.578
213.501 12.048 -3.507
213.867 12.047 -3.436
214.233 12.047 -3.365
214.600 12.046 -3.294
214.966 12.046 -3.223
215.332 12.046 -3.152
215.698 12.045 -3.081
216.064 12.045 -3.011
216.431 12.045 -2.940
216.797 12.045 -2.869
217.163 12.045 -2.799
217.529 12.044 -2.728
217.896 12.044 -2.658
218.262 12.044 -2.587
218.628 12.044 -2.517
218.994 12.044 -2.446
219.360 12.044 -2.376
219.727 12.044 -2.306
220.093 12.045 -2.236
220.459 12.045 -2.166
220.825 12.045 -2.097
221.191 12.045 -2.027
221.558 12.045 -1.957
221.924 12.046 -1.888
222.290 12.046 -1.819
222.656 12.047 -1.750
223.022 12.047 -1.681
223.389 12.047 -1.612
223.755 12.048 -1.543
224.121 12.049 -1.475
224.487 12.049 -1.406
224.854 12.050 -1.338
225.220 12.050 -1.270
225.586 12.051 -1.202
225.952 12.052 -1.134
226.318 12.052 -1.066
226.685 12.053 -0.999
227.051 12.054 -0.931
227.417 12.055 -0.864
227.783 12.056 -0.797
228.149 12.057 -0.730
228.516 12.057 -0.663
228.882 12.058 -0.596
229.248 12.059 -0.530
229.614 12.060 -0.463
229.980 12.061 -0.397
230.347 12.062 -0.331
230.713 12.064 -0.265
231.079 12.065 -0.199
231.445 12.066 -0.134
231.812 12.067 -0.068
232.178 12.068 -0.003
232.544 12.069 0.062
232.910 12.071 0.127
233.276 12.072 0.192
233.643 12.073 0.257
234.009 12.075 0.321
234.375 12.076 0.386
234.741 12.077 0.450
235.107 12.079 0.514
235.474 12.080 0.578
235.840 12.082 0.642
236.206 12.083 0.705
236.572 12.085 0.769
236.938 12.086 0.832
237.305 12.088 0.895
237.671 12.089 0.958
238.037 12.091 1.021
238.403 12.093 1.083
238.770 12.094 1.146
239.136 12.096 1.208
239.502 12.098 1.270
239.868 12.100 1.333
240.234 12.101 1.394
240.601 12.103 1.456
240.967 12.105 1.518
241.333 12.107 1.579
241.699 12.109 1.640
242.065 12.110 1.701
242.432 12.112 1.762
242.798 12.114 1.823
243.164 12.116 1.884
243.530 12.118 1.944
243.896 12.120 2.005
244.263 12.122 2.065
244.629 12.124 2.125
244.995 12.126 2.185
245.361 12.128 2.244
245.728 12.130 2.304
246.094 12.132 2.364
246.460 12.134 2.423
246.826 12.136 2.482
247.192 12.138 2.541
247.559 12.140 2.600
247.925 12.142 2.659
248.291 12.144 2.718
248.657 12.146 2.776
249.023 12.149 2.835
249.390 12.151 2.893
249.756 12.153 2.951
250.122 12.155 3.009
250.488 12.157 3.067
250.854 12.159 3.125
251.221 12.162 3.183
251.587 12.164 3.241
251.953 12.166 3.298
252.319 12.168 3.356
252.686 12.171 3.413
253.052 12.173 3.470
253.418 12.175 3.527
253.784 12.177 3.584
254.150 12.180 3.641
254.517 12.182 3.698
254.883 12.184 3.754
255.249 12.187 3.811
255.615 12.189 3.867
255.981 12.191 3.924
256.348 12.194 3.980
256.714 12.196 4.036
257.080 12.199 4.092
257.446 12.201 4.148
257.812 12.204 4.203
258.179 12.206 4.259
258.545 12.208 4.315
258.911 12.211 4.370
259.277 12.213 4.425
259.644 12.216 4.481
260.010 12.218 4.536
260.376 12.221 4.591
260.742 12.223 4.646
261.108 12.226 4.700
261.475 12.228 4.755
261.841 12.231 4.810
262.207 12.234 4.864
262.573 12.236 4.919
262.939 12.239 4.973
263.306 12.241 5.027
263.672 12.244 5.081
264.038 12.247 5.135
264.404 12.249 5.189
264.771 12.252 5.243
265.137 12.254 5.297
265.503 12.257 5.351
265.869 12.260 5.405
266.235 12.262 5.458
266.602 12.265 5.512
266.968 12.268 5.565
267.334 12.270 5.618
267.700 12.273 5.672
268.066 12.276 5.725
268.433 12.279 5.778
268.799 12.281 5.831
269.165 12.284 5.884
269.531 12.287 5.937
269.897 12.290 5.990
270.264 12.293 6.043
270.630 12.295 6.096
270.996 12.298 6.149
271.362 12.301 6.201
271.729 12.304 6.254
272.095 12.307 6.307
272.461 12.310 6.359
272.827 12.313 6.411
273.193 12.316 6.464
273.560 12.318 6.516
273.926 12.321 6.568
274.292 12.324 6.621
274.658 12.327 6.673
275.024 12.330 6.725
275.391 12.333 6.777
275.757 12.336 6.829
276.123 12.339 6.881
276.489 12.343 6.933
276.855 12.346 6.984
277.222 12.349 7.036
277.588 12.352 7.088
277.954 12.355 7.139
278.320 12.358 7.191
278.687 12.361 7.242
279.053 12.364 7.294
279.419 12.368 7.345
279.785 12.371 7.396
280.151 12.374 7.447
280.518 12.377 7.498
280.884 12.381 7.549
281.250 12.384 7.600
281.616 12.387 7.651
281.982 12.391 7.702
282.349 12.394 7.753
282.715 12.397 7.803
283.081 12.401 7.854
283.447 12.404 7.904
283.813 12.407 7.955
284.180 12.411 8.005
284.546 12.414 8.055
284.912 12.418 8.106
285.278 12.421 8.156
285.645 12.425 8.206
286.011 12.428 8.256
286.377 12.431 8.306
286.743 12.435 8.356
287.109 12.438 8.406
287.476 12.442 8.456
287.842 12.446 8.506
288.208 12.449 8.555
288.574 12.453 8.605
288.940 12.456 8.655
289.307 12.460 8.704
289.673 12.464 8.754
290.039 12.467 8.803
290.405 12.471 8.853
290.771 12.475 8.902
291.138 12.478 8.952
291.504 12.482 9.001
291.870 12.486 9.050
292.236 12.489 9.100
292.603 12.493 9.149
292.969 12.497 9.198
293.335 12.501 9.247
293.701 12.504 9.296
294.067 12.508 9.345
294.434 12.512 9.394
294.800 12.516 9.443
295.166 12.520 9.492
295.532 12.524 9.541
295.898 12.528 9.590
296.265 12.531 9.639
296.631 12.535 9.688
296.997 12.539 9.737
297.363 12.543 9.785
297.729 12.547 9.834
298.096 12.551 9.883
298.462 12.555 9.931
298.828 12.560 9.980
299.194 12.564 10.029
299.561 12.568 10.077
299.927 12.572 10.126
300.293 12.576 10.174
300.659 12.580 10.223
301.025 12.584 10.271
301.392 12.589 10.319
301.758 12.593 10.368
302.124 12.597 10.416
302.490 12.601 10.464
302.856 12.606 10.512
303.223 12.610 10.561
303.589 12.614 10.609
303.955 12.619 10.657
304.321 12.623 10.705
304.688 12.628 10.753
305.054 12.632 10.801
305.420 12.637 10.849
305.786 12.641 10.897
306.152 12.646 10.944
306.519 12.650 10.992
306.885 12.655 11.040
307.251 12.660 11.087
307.617 12.664 11.135
307.983 12.669 11.183
308.350 12.674 11.230
308.716 12.678 11.277
309.082 12.683 11.325
309.448 12.688 11.372
309.814 12.693 11.419
310.181 12.698 11.467
310.547 12.703 11.514
310.913 12.707 11.561
311.279 12.712 11.608
311.646 12.717 11.655
312.012 12.722 11.702
312.378 12.727 11.748
312.744 12.732 11.795
313.110 12.738 11.842
313.477 12.743 11.889
313.843 12.748 11.935
314.209 12.753 11.982
314.575 12.758 12.028
314.941 12.763 12.074
315.308 12.769 12.121
315.674 12.774 12.167
316.040 12.779 12.213
316.406 12.785 12.259
316.772 12.790 12.305
317.139 12.796 12.351
317.505 12.801 12.396
317.871 12.806 12.442
318.237 12.812 12.488
318.604 12.818 12.533
318.970 12.823 12.578
319.336 12.829 12.624
319.702 12.834 12.669
320.068 12.840 12.714
320.435 12.846 12.759
320.801 12.851 12.804
321.167 12.857 12.849
321.533 12.863 12.893
321.899 12.869 12.938
322.266 12.875 12.983
322.632 12.880 13.027
322.998 12.886 13.071
323.364 12.892 13.115
323.730 12.898 13.160
324.097 12.904 13.204
324.463 12.910 13.247
324.829 12.916 13.291
325.195 12.922 13.335
325.562 12.928 13.378
325.928 12.934 13.422
326.294 12.940 13.465
326.660 12.947 13.509
327.026 12.953 13.552
327.393 12.959 13.595
327.759 12.965 13.638
328.125 12.971 13.681
328.491 12.978 13.724
328.857 12.984 13.766
329.224 12.990 13.809
329.590 12.996 13.851
329.956 13.003 13.894
330.322 13.009 13.936
330.688 13.015 13.979
331.055 13.022 14.021
331.421 13.028 14.063
331.787 13.035 14.105
332.153 13.041 14.147
332.520 13.048 14.189
332.886 13.054 14.231
333.252 13.061 14.273
333.618 13.067 14.315
333.984 13.074 14.357
334.351 13.080 14.399
334.717 13.087 14.440
335.083 13.093 14.482
335.449 13.100 14.524
335.815 13.107 14.565
336.182 13.113 14.607
336.548 13.120 14.649
336.914 13.127 14.690
337.280 13.134 14.731
337.646 13.141 14.773
338.013 13.147 14.814
338.379 13.154 14.856
338.745 13.161 14.897
339.111 13.168 14.938
339.478 13.175 14.980
339.844 13.182 15.021
340.210 13.189 15.062
340.576 13.196 15.103
340.942 13.204 15.144
341.309 13.211 15.185
341.675 13.218 15.226
342.041 13.225 15.267
342.407 13.233 15.308
342.773 13.240 15.349
343.140 13.247 15.390
343.506 13.255 15.431
343.872 13.262 15.472
344.238 13.270 15.512
344.604 13.277 15.553
344.971 13.285 15.594
345.337 13.293 15.634
345.703 13.300 15.675
346.069 13.308 15.715
346.436 13.316 15.756
346.802 13.324 15.796
347.168 13.332 15.836
347.534 13.340 15.876
347.900 13.348 15.916
348.267 13.356 15.956
348.633 13.364 15.996
348.999 13.372 16.036
349.365 13.380 16.076
349.731 13.389 16.116
350.098 13.397 16.155
350.464 13.405 16.195
350.830 13.414 16.234
351.196 13.422 16.274
351.562 13.431 16.313
351.929 13.439 16.352
352.295 13.448 16.391
352.661 13.457 16.430
353.027 13.466 16.469
353.394 13.475 16.508
353.760 13.484 16.547
354.126 13.493 16.585
354.492 13.502 16.624
354.858 13.511 16.662
355.225 13.520 16.700
355.591 13.529 16.738
355.957 13.539 16.776
356.323 13.548 16.814
356.689 13.557 16.852
357.056 13.567 16.889
357.422 13.576 16.927
357.788 13.586 16.964
358.154 13.596 17.001
358.521 13.606 17.038
358.887 13.615 17.075
359.253 13.625 17.112
359.619 13.635 17.149
359.985 13.646 17.185
360.352 13.656 17.222
360.718 13.666 17.258
361.084 13.676 17.294
361.450 13.687 17.329
361.816 13.697 17.365
362.183 13.708 17.401
362.549 13.718 17.436
362.915 13.729 17.471
363.281 13.740 17.506
363.647 13.750 17.540
364.014 13.761 17.575
364.380 13.772 17.609
364.746 13.783 17.643
365.112 13.795 17.677
365.479 13.806 17.711
365.845 13.817 17.744
366.211 13.829 17.777
366.577 13.840 17.810
366.943 13.852 17.843
367.310 13.863 17.875
367.676 13.875 17.907
368.042 13.887 17.939
368.408 13.899 17.971
368.774 13.911 18.002
369.141 13.923 18.033
369.507 13.935 18.064
369.873 13.947 18.095
370.239 13.960 18.125
370.605 13.972 18.155
370.972 13.985 18.184
371.338 13.997 18.214
371.704 14.010 18.242
372.070 14.023 18.271
372.437 14.036 18.299
372.803 14.049 18.327
373.169 14.062 18.354
373.535 14.075 18.382
373.901 14.088 18.408
374.268 14.101 18.435
374.634 14.115 18.461
375.000 14.128 18.486
375.366 14.142 18.511
375.732 14.156 18.536
376.099 14.169 18.560
376.465 14.183 18.584
376.831 14.197 18.607
377.197 14.211 18.630
377.563 14.225 18.653
377.930 14.239 18.675
378.296 14.253 18.696
378.662 14.268 18.717
379.028 14.282 18.738
379.395 14.297 18.758
379.761 14.311 18.777
380.127 14.326 18.796
380.493 14.340 18.814
380.859 14.355 18.832
381.226 14.370 18.849
381.592 14.385 18.866
381.958 14.400 18.882
382.324 14.415 18.898
382.690 14.430 18.913
383.057 14.445 18.927
383.423 14.460 18.941
383.789 14.475 18.954
384.155 14.490 18.966
384.521 14.506 18.978
384.888 14.521 18.989
385.254 14.536 19.000
385.620 14.552 19.010
385.986 14.567 19.019
386.353 14.583 19.028
386.719 14.598 19.035
387.085 14.614 19.043
387.451 14.629 19.049
387.817 14.645 19.055
388.184 14.661 19.060
388.550 14.676 19.064
388.916 14.692 19.067
389.282 14.708 19.070
389.648 14.723 19.072
390.015 14.739 19.073
390.381 14.755 19.074
390.747 14.770 19.074
391.113 14.786 19.073
391.479 14.801 19.071
391.846 14.817 19.068
392.212 14.833 19.065
392.578 14.848 19.061
392.944 14.864 19.056
393.311 14.879 19.050
393.677 14.895 19.043
394.043 14.910 19.036
394.409 14.925 19.028
394.775 14.941 19.019
395.142 14.956 19.009
395.508 14.971 18.998
395.874 14.986 18.987
396.240 15.001 18.974
396.606 15.016 18.961
